address,floor_area,agent_name,baths,beds,price
"Apartment 5, Creevagh House, Dublin 14",65 m²,,1 Bath,2 Bed,"€360,000 "
"37 Clune Road, Finglas, Dublin 11",107 m²,,2 Bath,3 Bed,"€395,000 "
"12 Thomas Davis Street West, Inchicore, D08R3HE, Dublin 8",55 m²,,1 Bath,2 Bed,"€295,000 "
"111 Windmill Road, Crumlin, Dublin 12",76 m²,,,2 Bed,"€325,000 "
"Apartment 3, Pintail House, Redcourt Oaks, Seafield Road East, Clontarf, Dublin 3",80 m²,,2 Bath,2 Bed,"€475,000 "
"13 Annfield View, Castleknock, Castleknock, Dublin 15",80 m²,,2 Bath,2 Bed,"€295,000 "
"Argyle, Station Road, Glenageary, Co. Dublin",235 m²,,4 Bath,5 Bed,"€1,950,000 "
"30 Fairview Strand, Fairview, Fairview, Dublin 3",120 m²,,2 Bath,3 Bed,"€550,000 "
"Apartment 14, Harbour View, Balbriggan, Co. Dublin",70 m²,,2 Bath,2 Bed,"€190,000 "
"20 Riverside, Watery Lane, Clondalkin, Dublin 22",86 m²,,1 Bath,2 Bed,"€275,000 "
"73 Gordon Street, Ringsend, Ringsend, Dublin 4",58 m²,,2 Bath,2 Bed,"€425,000 "
"4 Kingsland Park Church, Portobello, Dublin 8",91 m²,,1 Bath,2 Bed,"€845,000 "
"37 Maywood Park, Raheny, Dublin 5",93 m²,,2 Bath,3 Bed,"€650,000 "
"13 The Corn Exchange, Poolbeg street, South City Center, Dublin 2",52 m²,,1 Bath,1 Bed,"€298,000 "
"25 Lanesborough Avenue, Finglas, Dublin 11",105 m²,,2 Bath,4 Bed,"€375,000 "
"29 Burlington Gardens, Burlington Road, Ballsbridge, Dublin 4",93 m²,,2 Bath,2 Bed,"€595,000 "
"32 Eaton Wood Ave, Shankill, Dublin 18",125 m²,,2 Bath,3 Bed,"€645,000 "
"Apartment 14, Offington Manor, Sutton, Dublin 13",68 m²,,1 Bath,1 Bed,"€380,000 "
"54 Hollystown Park, Hollystown, Hollystown, Dublin 15",,,3 Bath,3 Bed,"€475,000 "
"36 Holywell Manor, Swords, Co. Dublin",,,2 Bath,2 Bed,"€255,000 "
"6 The Glen, Carrickmines Manor, Glenamuck Road, Carrickmines, Dublin 18",193 m²,,4 Bath,4 Bed,"€830,000 "
"Apartment 33, Waterville Hall, Waterville Terrace, Waterville, Blanchardstown, Dublin 15",70 m²,,2 Bath,2 Bed,"€225,000 "
"5 Westbourne Drive, Clondalkin, Clondalkin, Dublin 22",,,1 Bath,3 Bed,"€249,000 "
"Apartment 62, Hyde Square, South Circular Road, Dublin 8",,,1 Bath,1 Bed,"€240,000 "
"17 The Glebe, Esker South, Lucan, Co. Dublin",76 m²,,1 Bath,3 Bed,"€325,000 "
"18 Barnwall Court, Balbriggan, Co. Dublin",86 m²,,3 Bath,3 Bed,"€285,000 "
"132 The Hardwicke, Smithfield, Dublin 7",39 m²,,1 Bath,1 Bed,"€250,000 "
"24 Ashwood Hall, Back Road, Malahide, Co. Dublin",203 m²,,4 Bath,4 Bed,"€1,200,000 "
